country,reporting_units,confirmed,deaths,recovered,active,mean_incident_rate,case_fatality_percent,active_share_percent,case_burden_class
US,3279,50289495,800046,0.0,0.0,16232.517436850932,1.590880958339311,0.0,Very high
India,37,34710628,476135,0.0,0.0,4236.699153099635,1.3717268382467758,0.0,Very high
Brazil,27,22200629,617254,0.0,0.0,12047.905288383596,2.7803446469917588,0.0,Very high
United Kingdom,19,10995158,175638,0.0,0.0,9381.106545467952,1.5974122427344837,0.0,Very high
Russia,83,9899139,286023,0.0,0.0,6778.099798675732,2.889372499971967,0.0,Very high
Turkey,1,9080452,79503,0.0,0.0,10768.938195628842,0.8755401162849603,0.0,Very high
France,12,8438360,121817,0.0,0.0,10208.494901682217,1.4436098957617356,0.0,Very high
Germany,17,6582303,106227,0.0,0.0,7857.451328399659,1.6138272577242343,0.0,Very high
Iran,1,6160303,130831,0.0,0.0,7334.3093437850675,2.123775405203283,0.0,Very high
Argentina,1,5366522,116826,0.0,0.0,11873.945656471398,2.176940670326144,0.0,Very high
Spain,20,5366128,88542,0.0,0.0,11172.250124887008,1.6500165482448426,0.0,Very high
Italy,21,5258886,135049,0.0,0.0,8701.17005478455,2.568015355343318,0.0,Very high
Colombia,34,5097680,129205,0.0,0.0,8031.257934036668,2.5345843599441316,0.0,Very high
Indonesia,1,4259439,143960,0.0,0.0,1557.2472258255164,3.3797878077371224,0.0,Very high
Mexico,33,3918987,296721,0.0,0.0,3110.798681382356,7.571369846340394,0.0,Very high
Poland,1,3857085,89045,0.0,0.0,10191.363267590315,2.308608703204622,0.0,Very high
Ukraine,28,3746106,97328,0.0,0.0,8426.306746961256,2.598111212015891,0.0,Very high
South Africa,1,3204642,90172,0.0,0.0,5403.326224200871,2.813793241179514,0.0,Very high
Netherlands,17,2949045,20671,0.0,0.0,14868.509580794409,0.7009387784859166,0.0,Very high
Philippines,1,2836868,50351,0.0,0.0,2588.8299974397955,1.7748799027660083,0.0,Very high
Malaysia,17,2699240,30956,0.0,0.0,7893.433471449385,1.1468413331159883,0.0,Very high
Czechia,1,2350338,34697,0.0,0.0,21947.352231986195,1.4762557555551585,0.0,Very high
Peru,26,2255318,201848,0.0,0.0,6496.17141610328,8.949868710310476,0.0,Very high
Thailand,1,2174906,21231,0.0,0.0,3115.912156877757,0.9761801199684031,0.0,Very high
Iraq,1,2088833,24007,0.0,0.0,5193.194963525766,1.1493020265382632,0.0,Very high
Belgium,12,1968269,27685,0.0,0.0,17302.400301511105,1.4065658708235511,0.0,Very high
Canada,16,1853660,29970,0.0,0.0,3619.5580349174943,1.6168013551568248,0.0,Very high
Romania,1,1794589,57847,0.0,0.0,9328.509536647918,3.2234121573240446,0.0,Very high
Chile,17,1785124,38723,0.0,0.0,10850.14965006157,2.1692050524221287,0.0,Very high
Japan,49,1728527,18374,0.0,0.0,894.5131858793557,1.0629859990616286,0.0,Very high
Bangladesh,1,1580005,28034,0.0,0.0,959.384856035316,1.7742981826006878,0.0,Very high
Vietnam,1,1443648,28333,0.0,0.0,1483.1200080239507,1.9625975307000043,0.0,Very high
Israel,1,1351776,8224,0.0,0.0,15617.464003694282,0.6083848211538007,0.0,Very high
Slovakia,1,1295909,15516,0.0,0.0,23736.14904857333,1.1973062923399713,0.0,Very high
Pakistan,7,1289913,28843,0.0,0.0,1363.1274569603174,2.2360422757193703,0.0,Very high
Serbia,1,1276761,12241,0.0,0.0,14612.646597317042,0.9587542225992179,0.0,Very high
Sweden,21,1238689,15204,0.0,0.0,11350.388775592282,1.2274267390765559,0.0,Very high
Austria,1,1228109,16293,0.0,0.0,13713.170634215669,1.3266737724420226,0.0,Very high
Hungary,1,1202514,37079,0.0,0.0,12447.934081063317,3.08345682461909,0.0,Very high
Portugal,1,1200193,18687,0.0,0.0,11770.398031442895,1.5569995825671372,0.0,Very high
Switzerland,1,1143534,11824,0.0,0.0,13212.992185212564,1.0339876208315624,0.0,Very high
Kazakhstan,1,1064365,18064,0.0,0.0,5668.539217233352,1.697162157718452,0.0,Very high
Jordan,1,1019691,12048,0.0,0.0,9993.894036541691,1.181534406011233,0.0,Very high
Greece,1,1012659,19475,0.0,0.0,9715.567104311824,1.9231547835944778,0.0,Very high
Cuba,1,963751,8313,0.0,0.0,8508.728467531697,0.8625671983738539,0.0,High
Morocco,1,951763,14798,0.0,0.0,2578.5657317887203,1.554798831221638,0.0,High
Georgia,1,894801,12826,0.0,0.0,22430.7281580778,1.4333913350566214,0.0,High
Nepal,1,824764,11559,0.0,0.0,2830.660105252435,1.4014918206905247,0.0,High
United Arab Emirates,1,743004,2151,0.0,0.0,7512.375636981314,0.28950046029361887,0.0,High
Tunisia,1,719903,25443,0.0,0.0,6091.262108649252,3.5342261387992546,0.0,High
Bulgaria,1,718651,29764,0.0,0.0,10342.616225644731,4.141648727963921,0.0,High
Lebanon,1,692315,8873,0.0,0.0,10143.15263392466,1.281642027111936,0.0,High
Mongolia,1,683333,1965,0.0,0.0,11763.38166337837,0.28756111588347116,0.0,High
Belarus,1,676512,5305,0.0,0.0,7159.371556961606,0.7841693865001655,0.0,High
Croatia,1,657726,11722,0.0,0.0,16021.51187206292,1.7822010989378558,0.0,High
Ireland,1,632177,5788,0.0,0.0,12802.817289333138,0.9155663682797698,0.0,High
Guatemala,1,622525,16051,0.0,0.0,3474.7714096908007,2.578370346572427,0.0,High
Azerbaijan,1,605920,8123,0.0,0.0,5976.0286216580735,1.3406060205967785,0.0,High
Denmark,3,576855,3043,0.0,0.0,7438.63495623205,0.5275155801717936,0.0,High
Sri Lanka,1,576194,14661,0.0,0.0,2690.8292762658634,2.5444555132472746,0.0,High
Costa Rica,1,568305,7333,0.0,0.0,11156.110758416477,1.2903282568339183,0.0,High
Bolivia,1,554999,19330,0.0,0.0,4754.54143050617,3.4828891583588444,0.0,High
Saudi Arabia,1,550369,8856,0.0,0.0,1580.8901665534604,1.6091022568494955,0.0,High
"Korea, South",1,536495,4456,0.0,0.0,1046.4278317054516,0.8305762402259107,0.0,High
Ecuador,1,534176,33570,0.0,0.0,3023.608149606701,6.284445575989936,0.0,High
Burma,1,527274,19193,0.0,0.0,969.0792065854909,3.6400429378273915,0.0,High
Lithuania,1,497399,7035,0.0,0.0,18127.0481370287,1.4143574876507592,0.0,High
Panama,1,481438,7391,0.0,0.0,11157.911618886576,1.5351924858444908,0.0,High
West Bank and Gaza,1,464751,4846,0.0,0.0,9110.23527585282,1.0427088914278828,0.0,High
Paraguay,1,463926,16516,0.0,0.0,6504.3680152764855,3.5600505252992938,0.0,High
Slovenia,1,442347,5436,0.0,0.0,21277.60792560796,1.2288994838893448,0.0,High
Venezuela,1,439089,5245,0.0,0.0,1544.1337746386675,1.1945186511162884,0.0,High
Kuwait,1,413790,2466,0.0,0.0,9689.35477593938,0.5959544696585224,0.0,High
Dominican Republic,1,410720,4220,0.0,0.0,3786.169199137456,1.0274639657187379,0.0,High
Uruguay,1,402978,6146,0.0,0.0,11600.738918170598,1.5251452932914453,0.0,High
Libya,1,379328,5569,0.0,0.0,5520.479642314461,1.468122574658343,0.0,High
Honduras,1,378615,10423,0.0,0.0,3822.614686012813,2.7529284365384363,0.0,High
Ethiopia,1,373564,6842,0.0,0.0,324.94115984537467,1.8315469370710242,0.0,High
Egypt,1,370819,21155,0.0,0.0,362.3600559823464,5.7049396066544595,0.0,High
Moldova,1,370459,9414,0.0,0.0,9183.500195713248,2.541171897564913,0.0,High
Armenia,1,342765,7845,0.0,0.0,11567.260634833428,2.28874009890158,0.0,High
Norway,1,328747,1141,0.0,0.0,6064.053218801154,0.3470754105740889,0.0,High
Oman,1,304741,4113,0.0,0.0,5967.56525154985,1.3496707039748508,0.0,High
Bosnia and Herzegovina,1,282587,13028,0.0,0.0,8613.31711785029,4.610261618545794,0.0,High
Bahrain,1,278149,1394,0.0,0.0,16346.484420683564,0.5011702360964807,0.0,High
Singapore,1,274143,804,0.0,0.0,4685.930380492221,0.2932775959991683,0.0,High
Latvia,1,263145,4390,0.0,0.0,13951.050841850449,1.6682817458055443,0.0,High
Kenya,1,256815,5349,0.0,0.0,477.60608354270767,2.0828222650546113,0.0,High
Qatar,1,245690,613,0.0,0.0,8527.764086829153,0.2495014042085555,0.0,High
Australia,8,235547,2117,0.0,0.0,505.0433697452302,0.8987590587016604,0.0,High
Estonia,1,229214,1868,0.0,0.0,17279.099973690936,0.8149589466611987,0.0,High
North Macedonia,1,219843,7754,0.0,0.0,10552.227630101086,3.527062494598418,0.0,High
Nigeria,1,218596,2983,0.0,0.0,106.0427078472802,1.3646178338121466,0.0,High
Algeria,1,213288,6155,0.0,0.0,486.392079659314,2.885769476013653,0.0,High
Zambia,1,211705,3671,0.0,0.0,1151.5747753095145,1.734016674145627,0.0,High
Finland,1,209228,1571,0.0,0.0,3736.573491016869,0.750855526029021,0.0,High
Albania,1,204301,3144,0.0,0.0,7099.207728125652,1.5389058301232006,0.0,High
Botswana,1,197644,2424,0.0,0.0,8404.571307074895,1.2264475521644977,0.0,High
Uzbekistan,1,196094,1442,0.0,0.0,585.893913983421,0.7353616122879844,0.0,High
Kyrgyzstan,1,184027,2773,0.0,0.0,2820.6868866959912,1.5068441043977243,0.0,High
Zimbabwe,1,172012,4740,0.0,0.0,1157.3225112388698,2.7556217008115715,0.0,High
Kosovo,1,161216,2988,0.0,0.0,8905.160613931106,1.8534140531957126,0.0,High
Montenegro,1,160111,2360,0.0,0.0,25492.8653540574,1.4739774281592146,0.0,High
Afghanistan,1,157660,7329,0.0,0.0,405.0005624436962,4.648610934923252,0.0,High
Mozambique,1,154520,1945,0.0,0.0,494.37801777514846,1.2587367331089827,0.0,High
Cyprus,1,142228,612,0.0,0.0,11780.07240585045,0.43029501926484237,0.0,High
Namibia,1,133090,3578,0.0,0.0,5237.874845134589,2.6884063415733714,0.0,High
Ghana,1,131547,1243,0.0,0.0,423.3489937950844,0.9449094240081491,0.0,High
